City,Quantity,Mean_RV_price,Median_RV_price,URL
Lexington,15,27853.333333333332,19900.0,http://lexington.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Stockton,32,40591.875,29900.0,http://stockton.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Pittsburgh,100,17006.200000000001,15995.0,http://pittsburgh.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Saint Paul,nan,nan,nan,
Anchorage,0,nan,nan,http://anchorage.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Cincinnati,11,32618.18181818182,29900.0,http://cincinnati.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Henderson,nan,nan,nan,
Greensboro,5,43971.199999999997,25000.0,http://greensboro.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Plano,nan,nan,nan,
Newark,nan,nan,nan,
Toledo,8,19092.875,24000.0,http://toledo.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Lincoln,3,10000.0,10000.0,http://lincoln.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Orlando,100,85381.399999999994,95000.0,http://orlando.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Chula Vista,nan,nan,nan,
Jersey City,nan,nan,nan,
Chandler,nan,nan,nan,
Fort Wayne,9,11416.0,8350.0,http://fortwayne.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Buffalo,3,11496.666666666666,10995.0,http://buffalo.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Durham,6,40510.166666666664,23983.0,http://raleigh.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
St. Petersburg,nan,nan,nan,
Irvine,nan,nan,nan,
Laredo,0,nan,nan,http://laredo.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Lubbock,2,26240.0,26240.0,http://lubbock.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Madison,16,23519.0,17995.0,http://madison.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Gilbert,nan,nan,nan,
Norfolk,nan,nan,nan,
Reno,29,40860.172413793101,29900.0,http://reno.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Winston–Salem,nan,nan,nan,
Glendale,nan,nan,nan,
Hialeah,nan,nan,nan,
Garland,nan,nan,nan,
Scottsdale,nan,nan,nan,
Irving,nan,nan,nan,
Chesapeake,nan,nan,nan,
North Las Vegas,nan,nan,nan,
Fremont,nan,nan,nan,
Baton Rouge,11,38681.818181818184,29900.0,http://batonrouge.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Richmond,8,23725.0,19000.0,http://richmondin.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Boise,3,45316.333333333336,44950.0,http://boise.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
San Bernardino,nan,nan,nan,
